Customer Name,Project Name,Project Address,Project City,Project State,Project Zip,Project Start Date,Project Outstanding Debt,Project Commencement Date
Jack Ripper,Building a House,44 Sycamore St,Brattleboro,VT,25301,2020-05-02,250.00,2020-12-30
Jake,Mall,3939 Banks St,New Orleans,La,70119,2018-2-12,,
Jakes,Skate Park,44 Sycamore St,Brattleboro,VT,25301,2019-05-02,Rtgfgrfs,
Sari,Boat,1615 Burdette,New Orleans,LA,70118,2020-08-01,,ihurtgsdf4
Nick,BBQ Joint,29 Leaf RD,Alabama,AL,29834,2018-1-20,0.50,Gtsfdvs
Nick,Salads,89 jiergoi st,San Fran,CA,89302,2019-05-10,20wgrsfv0,2020-11-30
Sari,Hammock,89 Sufaniloj rd,Harrington Park,NJ,1119,2020-01-02,,
John,Barn,84 Norman Francis,New Orleans,Ji2,12345,2019-5-2,,
Harriet,Sandles,32 Spruce,Brattleboro,VT,47802,Gresfdv,,
Sanchesz,Mountain,77 Edit,,QA,84082,2013-8-2,,
Jake,Brain,Ergs,Rev,Ji,,2012-1-1,,
Jake,StepLadder,,,,,,,
